newdist,category,horse_name,wrace,life_win,horse_weight,lspedrat,aversprat,jock_per_win,jock_num_win,jockey_weight,postpos,result,winner
False,Cab 4a y+ g de 1,Fondo Musical,354095.04,9.091,466.0,59.239,58.433,12.5,80,57.0,11,7,False
False,Cab 4a y+ g de 1,Magic Kiss,365879.45,9.524,490.0,57.564,58.625,14.0,49,58.0,5,8,False
False,Cab 4a y+ g de 1,Iron Man,516296.11,16.667,440.0,57.465,59.545,12.473,174,58.0,1,9,False
True,Cab 4a y+ g de 1,Estrellado Manx,203604.92,5.882,402.0,58.313,59.169,16.337,165,57.0,6,10,False
False,Cab 4a y+ g de 1,Sistematico,301168.6,11.111,496.0,55.856,57.977,9.714,51,58.0,10,11,False
False,Cab 5a y+ g de 2,Amorosa,564317.22,15.0,438.0,60.118,59.879,16.337,165,58.0,3,1,True
False,Cab 5a y+ g de 2,Adeluuve,409737.21,9.524,470.0,60.172,59.564,11.506,55,55.0,6,2,False
False,Cab 5a y+ g de 2,Cafe Universo,293516.34,9.524,396.0,59.548,58.695,13.807,103,58.0,1,3,False
True,Cab 5a y+ g de 2,Miroslav,656987.77,14.815,462.0,60.486,59.2,8.684,64,58.0,10,4,False
False,Cab 5a y+ g de 2,Falcao,437142.42,16.0,454.0,59.601,58.905,9.346,130,58.0,11,5,False
False,Cab 5a y+ g de 2,Gelsi,259814.61,11.765,470.0,58.832,57.625,8.455,81,57.0,9,6,False
True,Cab 5a y+ g de 2,Forever Alley,572196.77,17.391,396.0,58.231,59.153,11.05,40,59.0,5,7,False
False,Cab 5a y+ g de 2,Indocumentado Par,350223.74,8.0,446.0,55.777,57.233,11.434,63,57.0,12,8,False
True,Cab 5a y+ g de 2,Arenales,217913.29,9.524,454.0,56.818,57.787,9.044,70,57.0,7,9,False
False,Cab 5a y+ g de 2,Triunfador,236506.18,3.448,428.0,59.699,58.547,6.084,16,57.0,13,10,False
True,Cab 5a y+ g de 2,Easily The Best,32270.72,0.0,482.0,58.912,58.958,12.138,88,57.0,8,11,False
False,Cab 5a y+ g de 2,Pretty Salmon,319655.41,12.0,,57.886,58.771,9.796,48,54.0,4,0,False
False,Clas Hcap TCab 3a y+,Incompatible,1098337.75,28.571,506.0,55.831,57.563,15.663,130,59.5,5,2,False
True,Clas Hcap TCab 3a y+,L'Emperador,713477.43,25.0,520.0,56.379,57.882,10.345,45,57.0,14,3,False
True,Clas Hcap TCab 3a y+,Maldonado,573479.93,22.222,490.0,57.004,57.168,8.684,64,55.0,7,4,False
False,Clas Hcap TCab 3a y+,Latin Power,1360099.45,23.81,454.0,58.409,57.588,11.434,63,59.5,10,5,False
True,Clas Hcap TCab 3a y+,Ancar,1085665.06,18.519,418.0,55.65,57.81,9.346,130,54.5,11,6,False
True,Clas Hcap TCab 3a y+,Che Rengo,1409867.59,22.222,450.0,55.3,57.477,8.455,81,59.0,8,7,False
False,Clas Hcap TCab 3a y+,Finito de Triana,543443.3,18.75,468.0,58.323,58.276,10.99,131,55.5,3,8,False
True,Clas Hcap TCab 3a y+,Suburbio,465538.89,22.222,472.0,55.931,57.369,9.444,34,54.0,2,9,False
True,Clas Hcap TCab 3a y+,Piscos Our,823610.83,20.0,498.0,57.446,58.363,14.0,49,56.0,13,10,False
True,Clas Hcap TCab 3a y+,Hummer,913857.18,17.391,438.0,56.729,56.751,16.337,165,55.0,1,11,False
True,Clas Hcap TCab 3a y+,Polyus,1230741.32,9.375,514.0,56.869,57.747,13.997,187,54.5,9,12,False
False,Clas Hcap TCab 3a y+,Dossi,291829.65,25.0,488.0,57.884,59.15,9.796,48,54.0,6,13,False
True,Clas Hcap TCab 3a y+,Day Of Glory,678684.98,15.385,,55.706,57.229,12.138,88,55.0,4,0,False
False,Cab 5a y+ g de 1,Crisis Law,554732.54,19.048,456.0,58.09,59.33,19.178,70,59.0,7,1,True
True,Cab 5a y+ g de 1,Sea Card,580082.97,14.286,502.0,57.607,58.003,5.882,6,54.0,2,2,False
False,Cab 5a y+ g de 1,Reja Bo,316024.21,2.703,454.0,57.485,57.372,15.033,115,55.0,6,3,False
False,Cab 5a y+ g de 1,San Benjamin,432412.8,2.222,486.0,58.197,58.031,9.611,47,57.0,4,4,False
False,Cab 5a y+ g de 1,Amor De Pobre,261547.08,13.636,454.0,58.503,56.245,11.628,10,59.0,11,5,False
False,Cab 5a y+ g de 1,Che Pebeta,618349.89,7.317,430.0,58.278,58.926,13.939,161,56.0,9,6,False
True,Cab 5a y+ g de 1,Mr. Walker,110231.8,11.765,432.0,58.104,58.517,9.375,48,55.0,8,7,False
True,Cab 5a y+ g de 1,Circense,126083.01,0.0,460.0,58.957,59.0,10.703,35,58.0,3,8,False
False,Cab 5a y+ g de 1,Plim Top,253293.69,3.846,528.0,58.698,57.926,18.367,81,58.0,1,9,False
False,Cab 5a y+ g de 1,Boxeandinga,274740.32,12.5,486.0,56.462,57.645,10.841,147,54.0,5,10,False
False,Cab 5a y+ g de 1,Always Together,27592.27,0.0,,54.947,56.073,2.174,2,55.0,10,0,False
True,Yeg 4a y+ g de 1,Resister,263717.82,12.5,434.0,58.652,56.97,11.478,80,57.0,6,1,True
False,Yeg 4a y+ g de 1,Husmeadora,279035.44,28.571,510.0,57.006,58.949,15.033,115,57.0,3,2,False
